name,website,guestbunks,hutname,pppn,dryingroom,gridref,location,lat,lng,caveclub,cave
,,,,,,,,54.1925218,-2.506651236,,
,,,,,,,,54.19297004,-2.506168013,,
,,,,,,,,54.1928812,-2.50612209,,
,,,,,,,,54.19299915,-2.506093417,,
,,,,,,,,54.19289891,-2.506412701,,
,,,,,,,,54.19242108,-2.50663918,,
,,,,,,,,54.19255087,-2.506397148,,
,,,,,,,,54.19258882,-2.505823696,,
,,,,,,,,54.19237476,-2.505183857,,
,,,,,,,,54.19305899,-2.504504947,,
,,,,,,,,54.19255529,-2.504530612,,
,,,,,,,,54.19262327,-2.504528231,,
,,,,,,,,54.19242208,-2.505490495,,
,,,,,,,,54.19208188,-2.505536219,,
,,,,,,,,54.19247796,-2.506875582,,
,,,,,,,,54.19272572,-2.506896941,,
,,,,,,,,54.19285006,-2.504555085,,
,,,,,,,,54.19263047,-2.504175537,,
,,,,,,,,54.19249004,-2.50423715,,
,,,,,,,,54.19253708,-2.506580331,,
,,,,,,,,54.19235924,-2.505322254,,
,,,,,,,,54.19266623,-2.505060549,,
,,,,,,,,54.192131,-2.505629042,,
,,,,,,,,54.19081581,-2.501928629,,
,,,,,,,,54.19038955,-2.502024909,,
,,,,,,,,54.18971052,-2.502649115,,
,,,,,,,,54.18907854,-2.502766338,,
,,,,,,,,54.18476146,-2.496633281,,
,,,,,,,,54.18524903,-2.49693177,,
,,,,,,,,54.18515133,-2.496842683,,
,,,,,,,,54.1855874,-2.496285242,,
,,,,,,,,54.18578003,-2.495497954,,
,,,,,,,,54.18591049,-2.495328954,,
,,,,,,,,54.18604555,-2.495418877,,
,,,,,,,,54.18580454,-2.495706178,,
,,,,,,,,54.19408181,-2.509164011,,
,,,,,,,,54.19409582,-2.508850273,,
,,,,,,,,54.19423301,-2.508870409,,
,,,,,,,,54.19416118,-2.50881439,,
,,,,,,,,54.19410459,-2.509173091,,
,,,,,,,,54.19415183,-2.508468937,,
,,,,,,,,54.19370366,-2.507010532,,
,,,,,,,,54.19371464,-2.506949121,,
,,,,,,,,54.19399135,-2.507834544,,
,,,,,,,,54.19396709,-2.507903149,,
,,,,,,,,54.19380507,-2.50788711,,
,,,,,,,,54.19397488,-2.507942471,,
,,,,,,,,54.19412593,-2.508197395,,
,,,,,,,,54.19411669,-2.507343834,,
,,,,,,,,54.1942528,-2.508137394,,
,,,,,,,,54.19401502,-2.507697313,,
,,,,,,,,54.19407811,-2.505922565,,
,,,,,,,,54.19396418,-2.505956204,,
,,,,,,,,54.19373169,-2.506146865,,
,,,,,,,,54.19379322,-2.505885019,,
,,,,,,,,54.19387083,-2.506364833,,
,,,,,,,,54.1937862,-2.50687015,,
,,,,,,,,54.1938314,-2.506965173,,
,,,,,,,,54.19383967,-2.50685242,,
,,,,,,,,54.19381382,-2.506522422,,
,,,,,,,,54.19374183,-2.506585122,,
,,,,,,,,54.19392133,-2.506342284,,
,,,,,,,,54.19399013,-2.506015957,,
,,,,,,,,54.19400892,-2.50598715,,
,,,,,,,,54.19403376,-2.506084135,,
,,,,,,,,54.19406727,-2.505943519,,
,,,,,,,,54.19392618,-2.506021917,,
,,,,,,,,54.1937866,-2.506130604,,
,,,,,,,,54.19383133,-2.506331934,,
,,,,,,,,54.19387311,-2.506159435,,
,,,,,,,,54.19383055,-2.506342635,,
,,,,,,,,54.19363473,-2.507164197,,
,,,,,,,,54.19354706,-2.506992334,,
,,,,,,,,54.19703078,-2.50490438,,
,,,,,,,,54.19692617,-2.504786224,,
,,,,,,,,54.19707066,-2.506790264,,
,,,,,,,,54.19698283,-2.506875171,,
,,,,,,,,54.19678572,-2.506542968,,
,,,,,,,,54.19689553,-2.506375841,,
,,,,,,,,54.1969839,-2.504857138,,
,,,,,,,,54.19658491,-2.506899285,,
,,,,,,,,54.19633562,-2.507078198,,
,,,,,,,,54.19635628,-2.507036592,,
,,,,,,,,54.19638785,-2.507004497,,
,,,,,,,,54.19658846,-2.506940983,,
,,,,,,,,54.19659314,-2.507072798,,
,,,,,,,,54.19636315,-2.506560913,,
,,,,,,,,54.19659598,-2.506925229,,
,,,,,,,,54.19661874,-2.506899463,,
,,,,,,,,54.19653344,-2.506781949,,
,,,,,,,,54.19612634,-2.506236862,,
,,,,,,,,54.19482202,-2.505897652,,
,,,,,,,,54.1948829,-2.506444791,,
,,,,,,,,54.19479169,-2.506740873,,
,,,,,,,,54.19486558,-2.506368266,,
,,,,,,,,54.19502275,-2.506208546,,
,,,,,,,,54.19499005,-2.506814864,,
,,,,,,,,54.19489681,-2.506092208,,
,,,,,,,,54.19482127,-2.506379355,,
,,,,,,,,54.19482183,-2.506005575,,
,,,,,,,,54.19483004,-2.505771572,,
,,,,,,,,54.20800408,-2.509974609,,
,,,,,,,,54.21444519,-2.515621153,,
,,,,,,,,54.21444054,-2.515612484,,
,,,,,,,,54.2144822,-2.515653509,,
,,,,,,,,54.21094544,-2.513945311,,
,,,,,,,,54.21086592,-2.513797491,,
,,,,,,,,54.21070754,-2.513915022,,
,,,,,,,,54.21054431,-2.513842569,,
,,,,,,,,54.21039959,-2.513863668,,
,,,,,,,,54.21034256,-2.513921869,,
,,,,,,,,54.21029763,-2.513825361,,
,,,,,,,,54.21035987,-2.513818219,,
,,,,,,,,54.21037145,-2.513703629,,
,,,,,,,,54.21032852,-2.513617476,,
,,,,,,,,54.21025498,-2.513501989,,
,,,,,,,,54.21013077,-2.513374971,,
,,,,,,,,54.21014251,-2.513468155,,
,,,,,,,,54.21003016,-2.513474432,,
,,,,,,,,54.20990944,-2.513467843,,
,,,,,,,,54.2098433,-2.513457409,,
,,,,,,,,54.20976078,-2.513514942,,
,,,,,,,,54.20967164,-2.513491477,,
,,,,,,,,54.20951529,-2.513316386,,
,,,,,,,,54.20815705,-2.51439944,,
,,,,,,,,54.20820896,-2.514442654,,
,,,,,,,,54.20822839,-2.514183335,,
,,,,,,,,54.20722825,-2.516228935,,
,,,,,,,,54.20744458,-2.515580216,,
,,,,,,,,54.20655814,-2.503881199,,
,,,,,,,,54.206758,-2.505401913,,
,,,,,,,,54.20589254,-2.513305721,,
,,,,,,,,54.20736558,-2.509861835,,
,,,,,,,,54.20690212,-2.508362592,,
,,,,,,,,54.20626148,-2.512094873,,
,,,,,,,,54.20703057,-2.510335408,,
,,,,,,,,54.20695323,-2.508998896,,
,,,,,,,,54.20585614,-2.505527257,,
,,,,,,,,54.20827307,-2.508106473,,
,,,,,,,,54.20913391,-2.507898623,,
,,,,,,,,54.20839848,-2.508539288,,
,,,,,,,,54.20861904,-2.50796569,,
,,,,,,,,54.20707335,-2.511373397,,
,,,,,,,,54.20723643,-2.51257098,,
,,,,,,,,54.20715771,-2.511914295,,
,,,,,,,,54.20480058,-2.509071129,,
,,,,,,,,54.20490785,-2.508045375,,
,,,,,,,,54.20563265,-2.509959763,,
,,,,,,,,54.20514417,-2.509526878,,
,,,,,,,,54.20467737,-2.50913069,,
,,,,,,,,54.20532389,-2.506578423,,
,,,,,,,,54.20462972,-2.507374073,,
,,,,,,,,54.20471991,-2.508300954,,
,,,,,,,,54.20487227,-2.507919622,,
,,,,,,,,54.20502952,-2.507099377,,
,,,,,,,,54.20416454,-2.509330393,,
,,,,,,,,54.20436488,-2.50870181,,
,,,,,,,,54.20464203,-2.50874379,,
,,,,,,,,54.20511367,-2.510844141,,
,,,,,,,,54.20013429,-2.50757901,,
,,,,,,,,54.20051648,-2.508081759,,
,,,,,,,,54.20099283,-2.50877958,,
,,,,,,,,54.20118939,-2.508325551,,
,,,,,,,,54.20037228,-2.506588339,,
,,,,,,,,54.20025054,-2.506173847,,
,,,,,,,,54.20020609,-2.507061074,,
,,,,,,,,54.20050609,-2.507090834,,
,,,,,,,,54.20034958,-2.506608543,,
,,,,,,,,54.20050928,-2.507762812,,
,,,,,,,,54.20033334,-2.506811879,,
,,,,,,,,54.1997155,-2.50714159,,
,,,,,,,,54.19947246,-2.506555601,,
,,,,,,,,54.19987728,-2.506814909,,
,,,,,,,,54.19960901,-2.505522309,,
,,,,,,,,54.19983479,-2.505650191,,
,,,,,,,,54.19986746,-2.505731261,,
,,,,,,,,54.2000024,-2.505414562,,
,,,,,,,,54.19863724,-2.511063684,,
,,,,,,,,54.19853908,-2.511243364,,
,,,,,,,,54.20000764,-2.513939291,,
,,,,,,,,54.2002382,-2.513452028,,
,,,,,,,,54.19961619,-2.509533841,,
,,,,,,,,54.20040143,-2.511001603,,
,,,,,,,,54.20041115,-2.51097047,,
,,,,,,,,54.19645996,-2.508879758,,
,,,,,,,,54.19645047,-2.509155209,,
,,,,,,,,54.19925174,-2.511283871,,
,,,,,,,,54.1992555,-2.511113529,,
,,,,,,,,54.19924476,-2.510996542,,
,,,,,,,,54.19922486,-2.510620226,,
,,,,,,,,54.19919496,-2.510414201,,
,,,,,,,,54.19669493,-2.50917894,,
,,,,,,,,54.19663011,-2.509336789,,
,,,,,,,,54.19686256,-2.508368451,,
,,,,,,,,54.19671052,-2.508915272,,
,,,,,,,,54.19662913,-2.509346324,,
,,,,,,,,54.19632639,-2.509371118,,
,,,,,,,,54.20099758,-2.511858551,,
,,,,,,,,54.2011911,-2.512868293,,
,,,,,,,,54.2012397,-2.512178674,,
,,,,,,,,54.201094,-2.512450725,,
,,,,,,,,54.20058251,-2.511529175,,
,,,,,,,,54.20030974,-2.512019751,,
,,,,,,,,54.20073916,-2.509920763,,
,,,,,,,,54.20075108,-2.510439885,,
,,,,,,,,54.20045672,-2.510262596,,
,,,,,,,,54.2010008,-2.511013383,,
,,,,,,,,54.200813,-2.510618322,,
,,,,,,,,54.20058913,-2.5103451,,
,,,,,,,,54.20050793,-2.510171216,,
,,,,,,,,54.20108924,-2.512040494,,
,,,,,,,,54.2011203,-2.512529318,,
,,,,,,,,54.20080983,-2.512789243,,
,,,,,,,,54.19892822,-2.509236326,,
,,,,,,,,54.19585424,-2.508369329,,
,,,,,,,,54.19612677,-2.508878298,,
,,,,,,,,54.19749496,-2.509919565,,
,,,,,,,,54.20045267,-2.511132241,,
,,,,,,,,54.19934245,-2.5100612,,
,,,,,,,,54.20073452,-2.516537816,,
